index	name	cifti_name
250	Left_8BL	Left_8BL
251	Left_9p	Left_9p
252	Left_10d	Left_10d
253	Left_8C	Left_8C
254	Left_44	Left_44
255	Left_45	Left_45
256	Left_47l	Left_47l
257	Left_a47r	Left_a47r
258	Left_6r	Left_6r
259	Left_IFJa	Left_IFJa
260	Left_IFJp	Left_IFJp
261	Left_IFSp	Left_IFSp
262	Left_IFSa	Left_IFSa
263	Left_p9-46v	Left_p9-46v
264	Left_46	Left_46
265	Left_a9-46v	Left_a9-46v
266	Left_9-46d	Left_9-46d
267	Left_9a	Left_9a
268	Left_10v	Left_10v
269	Left_a10p	Left_a10p
270	Left_10pp	Left_10pp
271	Left_11l	Left_11l
272	Left_13l	Left_13l
273	Left_OFC	Left_OFC
274	Left_47s	Left_47s
275	Left_LIPd	Left_LIPd
276	Left_6a	Left_6a
277	Left_i6-8	Left_i6-8
278	Left_s6-8	Left_s6-8
279	Left_43	Left_43
280	Left_OP4	Left_OP4
281	Left_OP1	Left_OP1
282	Left_OP2-3	Left_OP2-3
283	Left_52	Left_52
284	Left_RI	Left_RI
285	Left_PFcm	Left_PFcm
286	Left_PoI2	Left_PoI2
287	Left_TA2	Left_TA2
288	Left_FOP4	Left_FOP4
289	Left_MI	Left_MI
290	Left_Pir	Left_Pir
291	Left_AVI	Left_AVI
292	Left_AAIC	Left_AAIC
293	Left_FOP1	Left_FOP1
294	Left_FOP3	Left_FOP3
295	Left_FOP2	Left_FOP2
296	Left_PFt	Left_PFt
297	Left_AIP	Left_AIP
298	Left_EC	Left_EC
299	Left_PreS	Left_PreS
300	Left_H	Left_H
301	Left_ProS	Left_ProS
302	Left_PeEc	Left_PeEc
303	Left_STGa	Left_STGa
304	Left_PBelt	Left_PBelt
305	Left_A5	Left_A5
306	Left_PHA1	Left_PHA1
307	Left_PHA3	Left_PHA3
308	Left_STSda	Left_STSda
309	Left_STSdp	Left_STSdp
310	Left_STSvp	Left_STSvp
311	Left_TGd	Left_TGd
312	Left_TE1a	Left_TE1a
313	Left_TE1p	Left_TE1p
314	Left_TE2a	Left_TE2a
315	Left_TF	Left_TF
316	Left_TE2p	Left_TE2p
317	Left_PHT	Left_PHT
318	Left_PH	Left_PH
319	Left_TPOJ1	Left_TPOJ1
320	Left_TPOJ2	Left_TPOJ2
321	Left_TPOJ3	Left_TPOJ3
322	Left_DVT	Left_DVT
323	Left_PGp	Left_PGp
324	Left_IP2	Left_IP2
325	Left_IP1	Left_IP1
326	Left_IP0	Left_IP0
327	Left_PFop	Left_PFop
328	Left_PF	Left_PF
329	Left_PFm	Left_PFm
330	Left_PGi	Left_PGi
331	Left_PGs	Left_PGs
332	Left_V6A	Left_V6A
333	Left_VMV1	Left_VMV1
334	Left_VMV3	Left_VMV3
335	Left_PHA2	Left_PHA2
336	Left_V4t	Left_V4t
337	Left_FST	Left_FST
338	Left_V3CD	Left_V3CD
339	Left_LO3	Left_LO3
340	Left_VMV2	Left_VMV2
341	Left_31pd	Left_31pd
342	Left_31a	Left_31a
343	Left_VVC	Left_VVC
344	Left_25	Left_25
345	Left_s32	Left_s32
346	Left_pOFC	Left_pOFC
347	Left_PoI1	Left_PoI1
