index	label	community	cifti_label
112	R_FrontoParietal_16	FrontoParietal	Parcel_112
113	R_FrontoParietal_17	FrontoParietal	Parcel_113
114	R_FrontoParietal_18	FrontoParietal	Parcel_114
115	R_FrontoParietal_19	FrontoParietal	Parcel_115
116	R_FrontoParietal_20	FrontoParietal	Parcel_116
117	R_FrontoParietal_21	FrontoParietal	Parcel_117
118	R_FrontoParietal_22	FrontoParietal	Parcel_118
119	R_FrontoParietal_23	FrontoParietal	Parcel_119
120	R_FrontoParietal_24	FrontoParietal	Parcel_120
121	L_Salience_1	Salience	Parcel_121
122	L_Salience_2	Salience	Parcel_122
123	R_Salience_3	Salience	Parcel_123
124	R_Salience_4	Salience	Parcel_124
125	L_CinguloOperc_1	CinguloOperc	Parcel_125
126	L_CinguloOperc_2	CinguloOperc	Parcel_126
127	L_CinguloOperc_3	CinguloOperc	Parcel_127
128	L_CinguloOperc_4	CinguloOperc	Parcel_128
129	L_CinguloOperc_5	CinguloOperc	Parcel_129
130	L_CinguloOperc_6	CinguloOperc	Parcel_130
131	L_CinguloOperc_7	CinguloOperc	Parcel_131
132	L_CinguloOperc_8	CinguloOperc	Parcel_132
133	L_CinguloOperc_9	CinguloOperc	Parcel_133
134	L_CinguloOperc_10	CinguloOperc	Parcel_134
135	L_CinguloOperc_11	CinguloOperc	Parcel_135
136	L_CinguloOperc_12	CinguloOperc	Parcel_136
137	L_CinguloOperc_13	CinguloOperc	Parcel_137
138	L_CinguloOperc_14	CinguloOperc	Parcel_138
139	L_CinguloOperc_15	CinguloOperc	Parcel_139
140	L_CinguloOperc_16	CinguloOperc	Parcel_140
141	L_CinguloOperc_17	CinguloOperc	Parcel_141
142	L_CinguloOperc_18	CinguloOperc	Parcel_142
143	L_CinguloOperc_19	CinguloOperc	Parcel_143
144	L_CinguloOperc_20	CinguloOperc	Parcel_144
145	R_CinguloOperc_21	CinguloOperc	Parcel_145
146	R_CinguloOperc_22	CinguloOperc	Parcel_146
147	R_CinguloOperc_23	CinguloOperc	Parcel_147
148	R_CinguloOperc_24	CinguloOperc	Parcel_148
149	R_CinguloOperc_25	CinguloOperc	Parcel_149
150	R_CinguloOperc_26	CinguloOperc	Parcel_150
151	R_CinguloOperc_27	CinguloOperc	Parcel_151
152	R_CinguloOperc_28	CinguloOperc	Parcel_152
153	R_CinguloOperc_29	CinguloOperc	Parcel_153
154	R_CinguloOperc_30	CinguloOperc	Parcel_154
155	R_CinguloOperc_31	CinguloOperc	Parcel_155
156	R_CinguloOperc_32	CinguloOperc	Parcel_156
157	R_CinguloOperc_33	CinguloOperc	Parcel_157
158	R_CinguloOperc_34	CinguloOperc	Parcel_158
159	R_CinguloOperc_35	CinguloOperc	Parcel_159
160	R_CinguloOperc_36	CinguloOperc	Parcel_160
