index	label	cifti_label	community
52	L_InfMotor_7	Parcel_52	InfMotor
53	L_PostDefault_7	Parcel_53	PostDefault
54	L_Auditory_3	Parcel_54	Auditory
55	L_Auditory_4	Parcel_55	Auditory
56	L_Auditory_5	Parcel_56	Auditory
57	L_VentralAttn_3	Parcel_57	VentralAttn
58	L_VentralAttn_4	Parcel_58	VentralAttn
59	L_Auditory_6	Parcel_59	Auditory
60	L_Auditory_7	Parcel_60	Auditory
61	L_Auditory_8	Parcel_61	Auditory
62	L_Auditory_9	Parcel_62	Auditory
63	L_Auditory_10	Parcel_63	Auditory
64	L_LatOrbitoFrontal_1	Parcel_64	LatOrbitoFrontal
65	L_Salience_4	Parcel_65	Salience
66	L_Insula_1	Parcel_66	Insula
67	L_InfFrontoParietal_1	Parcel_67	InfFrontoParietal
68	L_InfFrontoParietal_2	Parcel_68	InfFrontoParietal
69	L_MedOrbitoFrontal_1	Parcel_69	MedOrbitoFrontal
70	L_Insula_2	Parcel_70	Insula
71	L_Salience_5	Parcel_71	Salience
72	L_Salience_6	Parcel_72	Salience
73	L_LatOrbitoFrontal_2	Parcel_73	LatOrbitoFrontal
74	L_LateralVisual_2	Parcel_74	LateralVisual
75	L_PostDefault_8	Parcel_75	PostDefault
76	L_PostDefault_9	Parcel_76	PostDefault
77	L_MedialVisual_5	Parcel_77	MedialVisual
78	L_MedialVisual_6	Parcel_78	MedialVisual
79	L_SupPrecuneus_1	Parcel_79	SupPrecuneus
80	L_LateralVisual_3	Parcel_80	LateralVisual
81	L_PostDefault_10	Parcel_81	PostDefault
82	L_PostDefault_11	Parcel_82	PostDefault
83	L_PostDefault_12	Parcel_83	PostDefault
84	L_LateralVisual_4	Parcel_84	LateralVisual
85	L_PostDefault_13	Parcel_85	PostDefault
86	L_LateralVisual_5	Parcel_86	LateralVisual
87	L_PostFrontoParietal_1	Parcel_87	PostFrontoParietal
88	L_LateralVisual_6	Parcel_88	LateralVisual
89	L_LateralVisual_7	Parcel_89	LateralVisual
90	L_LateralVisual_8	Parcel_90	LateralVisual
91	L_LateralVisual_9	Parcel_91	LateralVisual
92	L_LateralVisual_10	Parcel_92	LateralVisual
93	L_LateralVisual_11	Parcel_93	LateralVisual
94	L_PostDefault_14	Parcel_94	PostDefault
95	L_InfMotor_8	Parcel_95	InfMotor
96	L_InfMotor_9	Parcel_96	InfMotor
97	L_DorsalAttn_5	Parcel_97	DorsalAttn
98	L_PreCentFrontoParietal_1	Parcel_98	PreCentFrontoParietal
99	L_LatOrbitoFrontal_3	Parcel_99	LatOrbitoFrontal
100	L_Salience_7	Parcel_100	Salience
101	L_PreCentFrontoParietal_2	Parcel_101	PreCentFrontoParietal
102	L_Insula_3	Parcel_102	Insula
103	L_DorsalAttn_6	Parcel_103	DorsalAttn
104	L_DorsalAttn_7	Parcel_104	DorsalAttn
105	L_DorsalAttn_8	Parcel_105	DorsalAttn
106	L_AntFrontoParietal_1	Parcel_106	AntFrontoParietal
107	L_AntDefault_5	Parcel_107	AntDefault
108	L_MedOrbitoFrontal_2	Parcel_108	MedOrbitoFrontal
109	L_LatOrbitoFrontal_4	Parcel_109	LatOrbitoFrontal
110	L_Salience_8	Parcel_110	Salience
111	L_AntDefault_6	Parcel_111	AntDefault
112	L_AntDefault_7	Parcel_112	AntDefault
113	L_PostDefault_15	Parcel_113	PostDefault
114	L_PostDefault_16	Parcel_114	PostDefault
